code	gadm_gid
01	FRA.1.1_1
02	FRA.7.1_1
03	FRA.1.2_1
04	FRA.13.1_1
05	FRA.13.4_1
06	FRA.13.2_1
07	FRA.1.3_1
08	FRA.6.1_1
09	FRA.11.1_1
10	FRA.6.2_1
11	FRA.11.2_1
12	FRA.11.3_1
13	FRA.13.3_1
14	FRA.9.1_1
15	FRA.1.4_1
16	FRA.10.2_1
17	FRA.10.1_1
18	FRA.4.1_1
19	FRA.10.3_1
21	FRA.2.1_1
22	FRA.3.1_1
23	FRA.10.4_1
24	FRA.10.6_1
25	FRA.2.2_1
26	FRA.1.5_1
27	FRA.9.2_1
28	FRA.4.2_1
29	FRA.3.2_1
2A	FRA.5.1_1
2B	FRA.5.2_1
30	FRA.11.4_1
31	FRA.11.6_1
32	FRA.11.5_1
33	FRA.10.7_1
34	FRA.11.8_1
35	FRA.3.3_1
36	FRA.4.4_1
37	FRA.4.3_1
38	FRA.1.8_1
39	FRA.2.4_1
40	FRA.10.9_1
41	FRA.4.5_1
42	FRA.1.9_1
43	FRA.1.6_1
44	FRA.12.1_1
45	FRA.4.6_1
46	FRA.11.9_1
47	FRA.10.10_1
48	FRA.11.10_1
49	FRA.12.2_1
50	FRA.9.3_1
51	FRA.6.6_1
52	FRA.6.5_1
53	FRA.12.3_1
54	FRA.6.7_1
55	FRA.6.8_1
56	FRA.3.4_1
57	FRA.6.9_1
58	FRA.2.5_1
59	FRA.7.2_1
60	FRA.7.3_1
61	FRA.9.4_1
62	FRA.7.4_1
63	FRA.1.10_1
64	FRA.10.11_1
65	FRA.11.7_1
66	FRA.11.11_1
67	FRA.6.3_1
68	FRA.6.4_1
69	FRA.1.11_1
70	FRA.2.3_1
71	FRA.2.6_1
72	FRA.12.4_1
73	FRA.1.12_1
74	FRA.1.7_1
75	FRA.8.3_1
76	FRA.9.5_1
77	FRA.8.4_1
78	FRA.8.8_1
79	FRA.10.5_1
80	FRA.7.5_1
81	FRA.11.13_1
82	FRA.11.12_1
83	FRA.13.5_1
84	FRA.13.6_1
85	FRA.12.5_1
86	FRA.10.12_1
87	FRA.10.8_1
88	FRA.6.10_1
89	FRA.2.8_1
90	FRA.2.7_1
91	FRA.8.1_1
92	FRA.8.2_1
93	FRA.8.5_1
94	FRA.8.7_1
95	FRA.8.6_1
971	GLP
972	MTQ
973	GUF
974	REU
976	MYT
