code	place_id
01
02	30210
03	30143
04	30217
05	99560
06	99561
07	30224
08	30163
09	30195
10	30164
11	30183
12	30196
13	99562
14	30147
15	30144
16	30213
17	30214
18
19	30188
21	30150
22	30154
23	30189
24	30138
25	30169
26	30225
27	30173
28	99553
29	49292
2A	99555
2B	30168
30	30184
31	30198
32	30197
33	30139
34	30185
35	99551
36	30159
37	99552
38	30227
39	30171
40	30140
41	99554
42	30228
43	30145
44	30205
45	30161
46	30200
47	53255
48	30186
49	99559
50	30148
51	30166
52	30165
53	30207
54	99556
55	30192
56	30156
57	30193
58	30151
59
60	30211
61	30149
62	99558
63	99547
64	30142
65	30199
66	30187
67	30136
68	30137
69	30229
70	30170
71	30152
72	30208
73	30230
74	30226
75	99545
76	30174
77	99549
78	30182
79	30215
80	30212
81	30201
82	99557
83	99564
84	99563
85	30209
86	30216
87	30190
88	30194
89	30153
90	30172
91	30175
92	99548
93	30178
94	99546
95	99550
971	8177
972	10305
973	6949
974	8834
976	10306
